ID,price,date,postcode,prop_type,new_bldg,duration,address_1,address_2,street,locality,city,district,county,cat_type,status
"{8EEE0D61-DC24-4F6D-9CD5-4E761E6491E0}","96600","1995-09-21 00:00","SW19 7AR","F","N","L","6","THE BASEMENT FLAT AT","WOODSIDE","LONDON","LONDON","MERTON","GREATER LONDON","A","A"
"{9E5E4B5F-0E19-4A8E-A68A-4E7641B46A81}","135000","1995-06-30 00:00","SW19 8BQ","T","N","F","8","","WOLSELEY AVENUE","LONDON","LONDON","MERTON","GREATER LONDON","A","A"
"{33846A49-9CAE-46DD-AAC4-4AC2F27F9E9B}","111000","1995-01-18 00:00","NW11 7EU","T","N","F","3","","HAMPSTEAD GARDENS","LONDON","LONDON","BARNET","GREATER LONDON","A","A"
"{D5FEAB99-0A00-4B72-B3D7-4E768F126D89}","160000","1995-06-26 00:00","N8 8QL","T","N","F","49","","PALACE ROAD","HORNSEY","LONDON","HARINGEY","GREATER LONDON","A","A"
"{A96219C0-0DCD-4EFE-893B-4737B07F7127}","135000","1995-06-02 00:00","SW13 0HF","S","N","F","12","","LIMES AVENUE","LONDON","LONDON","RICHMOND UPON THAMES","GREATER LONDON","A","A"
"{931339FE-8C09-45D7-ACBE-47381506F5B3}","266000","1995-12-15 00:00","N7 8AT","S","N","F","5A","","ARUNDEL SQUARE","LONDON","LONDON","ISLINGTON","GREATER LONDON","A","A"
"{FF887E45-B7CE-4A2B-BC1A-52071B6ECDD0}","51500","1995-07-07 00:00","NW7 1BD","F","N","L","4","","SANDERS LANE","LONDON","LONDON","BARNET","GREATER LONDON","A","A"
"{922D90B2-D7BD-44C3-BA7A-52072CCE3CB5}","118700","1995-08-31 00:00","BR2 9TG","D","N","F","8","","LAVENDER CLOSE","BROMLEY","BROMLEY","BROMLEY","GREATER LONDON","A","A"
"{55BDCAE6-3C0F-521D-E053-6B04A8C0DD7A}","46500","1995-07-18 00:00","TW7 7DT","S","N","F","248A","","TWICKENHAM ROAD","","ISLEWORTH","HOUNSLOW","GREATER LONDON","A","A"
"{55BDCAE6-4130-521D-E053-6B04A8C0DD7A}","317500","1995-02-16 00:00","NW3 5BX","F","Y","L","2","FLAT 6","NUTLEY TERRACE","","LONDON","CAMDEN","GREATER LONDON","A","A"
"{55BDCAE6-88CD-521D-E053-6B04A8C0DD7A}","59400","1995-06-30 00:00","SE22 9HP","F","Y","L","OLD SCHOOL BUILDINGS","4","ST CLEMENTS YARD","","LONDON","SOUTHWARK","GREATER LONDON","A","A"
"{55BDCAE6-413A-521D-E053-6B04A8C0DD7A}","160000","1995-10-31 00:00","EC2A 4DL","F","N","L","24","","EPWORTH STREET","","LONDON","ISLINGTON","GREATER LONDON","A","A"
"{55BDCAE6-415A-521D-E053-6B04A8C0DD7A}","160000","1995-10-16 00:00","EC2A 4DL","F","N","L","24","","EPWORTH STREET","","LONDON","ISLINGTON","GREATER LONDON","A","A"
"{024F306B-9F59-4D5F-8EE9-B6698ED0A538}","93500","1995-07-27 00:00","UB8 2AP","D","N","F","7","","WELLINGTON ROAD","UXBRIDGE","UXBRIDGE","HILLINGDON","GREATER LONDON","A","A"
